"Qty";"Value";"Device";"Package";"Parts";"Description";"CAPACITANCE";"COLOR";"CURRENT";"CURRENT_RATED";"CURRENT_SATURATION";"DCR";"DKPN";"INDUCTANCE";"MANUFACTURER";"MOPN";"MPN";"POWER";"RESISTANCE";"TOLERANCE";"VOLTAGE";"VOLTAGE_CONTINUOUS";"VOLTAGE_MAX";
"1";"RESISTOR_0805_12.4";"RESISTOR_0805_12.4";"0805-RES";"R27";"Resistor";"";"";"";"";"";"";"P12.4CTR-ND";"";"  Panasonic Electronic Components";"667-ERJ-6ENF12R4V";"ERJ-6ENF12R4V";".125W";"12.4";"1%";"";"1.24V";"150V";
"1";"RESISTOR_0805_1M";"RESISTOR_0805_1M";"0805-RES";"R44";"Resistor";"";"";"";"";"";"";"P20936TR-ND";"";"Panasonic Electronic Components";"667-ERJ-PB6B1004V";"ERJ-PB6B1004V";"0.25W";"1M";"0.1%";"";"150V";"150V";
"9";"RESISTOR_0805_365K";"RESISTOR_0805_365K";"0805-RES";"R6, R7, R8, R9, R16, R17, R18, R19, R43";"Resistor";"";"";"";"";"";"";"P20885CT-ND";"";"Panasonic Electronic Components";"667-ERJ-PB6B3653V";"ERJ-PB6B3653V";"0.25W";"365k";"0.1%";"";"150V";"150V";
"1";"RESISTOR_0805_523K";"RESISTOR_0805_523K";"0805-RES";"R46";"Resistor";"";"";"";"";"";"";"P20904TR-ND";"";"Panasonic Electronic Components";"667-ERJ-PB6B5233V";"ERJ-PB6B5233V";"0.25W";"523k";"0.1%";"";"150V";"150V";
"1";"RESISTOR_0805_976K";"RESISTOR_0805_976K";"0805-RES";"R5";"Resistor";"";"";"";"";"";"";"P20935TR-ND";"";"Panasonic Electronic Components";"667-ERJ-PB6B9763V";"  ERJ-PB6B9763V";"0.25W";"976k";"0.1%";"";"150V";"150V";
"1";"RESISTOR_GND_1.25K";"RESISTOR_GND_1.25K";"B20";"R39";"20W Axial Through Hole Resistor";"";"";"";"";"";"";"B20J1K25E-ND";"";"Ohmite";"588-B20J1K25E";"B20J1K25E";"20W";"1.25k";"5%";"";"157V";"750V";
"3";"RESISTOR_GND_10K";"RESISTOR_GND_10K";"B20";"R40, R41, R42";"20W Axial Through Hole Resistor";"";"";"";"";"";"";"B20J10KE-ND";"";"Ohmite";"588-B20J10KE";"B20J10KE";"20W";"10k";"5%";"";"447V";"750V";
"3";"SCHOTTKY";"SCHOTTKY";"CLP1608-2L";"D7, D8, D10";"Schottky Rectifier Diode";"";"";"";"";"";"";"112-VSKY20401608-G4-08CT-ND";"";"Vishay General Semiconductor - Diodes Division";"78-VSKY20401608G408";"VSKY20401608-G4-08";"";"";"";"";"";"";
"19";"TEST_POINT";"TEST_POINT";"MICRO_MINIATURE";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP18, TP19, TP20";"Test Point";"";"";"";"";"";"";"36-5015CT-ND";"";"Keystone Electronics";"534-5015";"5015";"";"";"";"";"";"";
"1";"TRANSISTOR_N_MOS__PMV15ENEA";"TRANSISTOR_N_MOS__PMV15ENEA";"SOT-23";"Q2";"N-MOSFET";"";"";"";"";"";"";"1727-8588-1-ND";"";"Nexperia USA Inc.";"771-PMV15ENEAR";"PMV15ENEAR";"";"";"";"";"";"";
"1";"TVS_8V";"TVS_8V";"SOT-23";"D1";"TVS Diode";"";"";"";"";"";"";"GSOT08-E3-08TR-ND";"";"Vishay General Semiconductor - Diodes Division";"78-GSOT08-E3-08";"GSOT08-E3-08";"";"";"";"8V";"";"";
"1";"VOLTAGE_REGULATOR_ADJ_LR8_DPAK";"VOLTAGE_REGULATOR_ADJ_LR8_DPAK";"DPAK(2-7K1S)";"U17";"Adjustable voltage regulators.";"";"";"";"";"";"";"LR8K4-GTR-ND";"";"Microchip Technology";"689-LR8K4-G";"LR8K4-G";"";"";"";"";"";"";
"1";"VOLTAGE_REGULATOR_SOT223_5V";"VOLTAGE_REGULATOR_SOT223_5V";"SOT223";"U2";"Voltage Regulators";"";"";"";"";"";"";"497-17240-1-ND";"";"STMicroelectronics";"511-LDL1117S50R";"LDL1117S50R";"";"";"";"";"";"";
